2024-03-17 16:07:33.420 INFO  (qtp1415289182-19-null-30) [c: s: r: x:restaurants t:null-30] o.a.s.c.S.Request webapp=/solr path=/select params={q=id:3971c7d9\-c8c3\-47f0\-8c76\-7a7fbc50dc4f&start=0&rows=1&wt=javabin&version=2} hits=1 status=0 QTime=2
2024-03-17 16:08:01.629 INFO  (qtp1415289182-20-null-31) [c: s: r: x:restaurants t:null-31] o.a.s.c.S.Request webapp=/solr path=/select params={q=id:3971c7d9\-c8c3\-47f0\-8c76\-7a7fbc50dc4f&start=0&rows=1&wt=javabin&version=2} hits=1 status=0 QTime=8
2024-03-17 16:08:01.649 INFO  (qtp1415289182-19-null-32) [c: s: r: x:restaurants t:null-32] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[3971c7d9-c8c3-47f0-8c76-7a7fbc50dc4f (1793790240769441792)]} 0 9
2024-03-17 16:08:01.697 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-33) [c: s: r: x:restaurants t:null-33] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-17 16:08:01.704 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-33) [c: s: r: x:restaurants t:null-33] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-17 16:08:01.714 INFO  (qtp1415289182-20-null-33) [c: s: r: x:restaurants t:null-33] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 62
2024-03-17 16:08:06.661 INFO  (qtp1415289182-19-null-34) [c: s: r: x:restaurants t:null-34] o.a.s.c.S.Request webapp=/solr path=/select params={q=id:3971c7d9\-c8c3\-47f0\-8c76\-7a7fbc50dc4f&start=0&rows=1&wt=javabin&version=2} hits=1 status=0 QTime=3
2024-03-17 16:10:05.732 INFO  (qtp1415289182-21-null-35) [c: s: r: x:restaurants t:null-35] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:"Test4+Restaurant"&start=0&rows=1&wt=javabin&version=2} hits=0 status=0 QTime=17
2024-03-17 16:10:05.750 INFO  (qtp1415289182-20-null-36) [c: s: r: x:restaurants t:null-36] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[700631f0-5594-4441-af63-259924001eac (1793790370896674816)]} 0 11
2024-03-17 16:10:05.780 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-37) [c: s: r: x:restaurants t:null-37] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-17 16:10:05.784 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-37) [c: s: r: x:restaurants t:null-37] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-17 16:10:05.785 INFO  (qtp1415289182-22-null-37) [c: s: r: x:restaurants t:null-37] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 33
2024-03-17 16:10:27.435 INFO  (qtp1415289182-20-null-38) [c: s: r: x:restaurants t:null-38] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:"Test5+Restaurant"&start=0&rows=1&wt=javabin&version=2} hits=0 status=0 QTime=4
2024-03-17 16:10:27.447 INFO  (qtp1415289182-22-null-39) [c: s: r: x:restaurants t:null-39] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[21a41478-56ec-49fb-b1e0-ac581e2c54f5 (1793790393649725440)]} 0 8
2024-03-17 16:10:27.499 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-40) [c: s: r: x:restaurants t:null-40] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-17 16:10:27.572 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-40) [c: s: r: x:restaurants t:null-40] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-17 16:10:27.573 INFO  (qtp1415289182-20-null-40) [c: s: r: x:restaurants t:null-40] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 124
2024-03-17 16:10:46.785 INFO  (qtp1415289182-22-null-41) [c: s: r: x:restaurants t:null-41] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:"Test6+Restaurant"&start=0&rows=1&wt=javabin&version=2} hits=0 status=0 QTime=4
2024-03-17 16:10:46.799 INFO  (qtp1415289182-20-null-42) [c: s: r: x:restaurants t:null-42] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[9e5b60fc-f40f-4169-b2dc-d7a7ddaee579 (1793790413940719616)]} 0 9
2024-03-17 16:10:46.857 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-43) [c: s: r: x:restaurants t:null-43] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-17 16:10:46.859 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-43) [c: s: r: x:restaurants t:null-43] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-17 16:10:46.860 INFO  (qtp1415289182-22-null-43) [c: s: r: x:restaurants t:null-43] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 58
2024-03-17 16:11:00.172 INFO  (qtp1415289182-20-null-44) [c: s: r: x:restaurants t:null-44] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=0&wt=javabin&version=2} hits=6 status=0 QTime=1
2024-03-17 16:11:00.183 INFO  (qtp1415289182-22-null-45) [c: s: r: x:restaurants t:null-45] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=6&wt=javabin&version=2} hits=6 status=0 QTime=0
2024-03-17 16:12:00.430 INFO  (qtp1415289182-20-null-46) [c: s: r: x:restaurants t:null-46] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=0&wt=javabin&version=2} hits=6 status=0 QTime=4
2024-03-17 16:12:00.435 INFO  (qtp1415289182-22-null-47) [c: s: r: x:restaurants t:null-47] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=6&wt=javabin&version=2} hits=6 status=0 QTime=0
2024-03-17 16:49:59.420 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.e.j.s.Server Stopped Server@3e8f7922{STOPPING}[10.0.19,sto=0]
2024-03-17 16:49:59.450 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.e.j.s.AbstractConnector Stopped ServerConnector@666b83a4{HTTP/1.1, (http/1.1, h2c)}{0.0.0.0:8983}
2024-03-17 16:49:59.481 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.c.CoreContainer Shutting down CoreContainer instance=1555965524
2024-03-17 16:49:59.494 INFO  (coreCloseExecutor-19-thread-1) [c: s: r: x:restaurants t:] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@61234a8d restaurants
2024-03-17 16:49:59.499 INFO  (coreCloseExecutor-19-thread-1) [c: s: r: x:restaurants t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.restaurants tag=SolrCore@61234a8d
2024-03-17 16:49:59.515 INFO  (coreCloseExecutor-19-thread-1) [c: s: r: x:restaurants t:] o.a.s.u.DirectUpdateHandler2 Committing on IndexWriter.close()  ... SKIPPED (unnecessary).
2024-03-17 16:49:59.534 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.node tag=null
2024-03-17 16:49:59.538 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.jvm tag=null
2024-03-17 16:49:59.540 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.jetty tag=null
2024-03-17 16:49:59.548 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Stopped o.e.j.w.WebAppContext@21362712{solr-jetty-context.xml,/solr,null,STOPPED}{/opt/solr-9.5.0/server/solr-webapp/webapp}
